BikeCount,Latitude,Longitude
89,40.6814598,-73.934903
121,40.68186,-73.959432
136,40.68199044,-73.99079025
110,40.68216564,-73.95399026
96,40.6823687,-73.944118
93,40.682601,-73.938037
116,40.6828003,-73.99990419
58,40.68281,-73.90623
130,40.6829151,-73.99318208
106,40.6830456,-74.00348559
122,40.6831164,-73.99785267
155,40.68312489,-73.97895137
72,40.68319988,-73.91166642
137,40.68323865,-73.96599591
145,40.683426,-73.984275
153,40.68382604,-73.97632328
106,40.68402,-73.94977
142,40.68415748,-73.96922273
127,40.6845683,-73.95881081
68,40.68458,-73.90925
143,40.68461654,-73.98721285
123,40.6847514,-73.99917254
134,40.68488,-73.96304
141,40.6849668,-73.98620772
130,40.6849894,-73.99440329
154,40.68506807,-73.9779076
114,40.6851443,-73.95380904
103,40.6851532,-73.94111
144,40.6853761,-73.98302136
153,40.68539567,-73.97431458
92,40.68565,-73.91564
113,40.6859296,-74.00242364
132,40.6861758,-73.99645295
110,40.686203,-73.944694
110,40.686312,-73.935775
139,40.686371,-73.99383324
140,40.6864442,-73.98759104
141,40.68650065,-73.96563307
86,40.68652,-73.91321
97,40.68663,-73.9168
141,40.6867443,-73.99063168
133,40.68676793,-73.95928168
147,40.68683208,-73.9796772
153,40.68691865,-73.976682
153,40.68753406,-73.97265183
121,40.68763155,-74.0016256
147,40.68764484,-73.96968902
139,40.6881529,-73.99520919
77,40.6882,-73.90798
106,40.68822,-73.91966
124,40.6883337,-73.950916
146,40.68841,-73.979458
143,40.68841743,-73.98451656
138,40.68851534,-73.9647628
89,40.68858,-73.91227
139,40.68900443,-73.96023854
69,40.68906,-73.90506
147,40.68926942,-73.98912867
82,40.68929,-73.90951
146,40.68940747,-73.96885458
115,40.6894932,-73.942061
145,40.68962189,-73.98304269
149,40.68981035,-73.97493121
147,40.689888,-73.981013
95,40.68989,-73.91458
126,40.6900815,-73.947915
151,40.6902375,-73.99203074
117,40.69047,-73.923511
90,40.69055,-73.91181
136,40.69064807,-73.95746179
132,40.69072549,-73.95133465
69,40.69081,-73.90448
146,40.69089272,-73.99612349
153,40.69102926,-73.99183363
102,40.69122,-73.91693
123,40.69128258,-73.9452416
